"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Comment Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Coupling Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","Inheritance Metric Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules","Number of bugs"
"L6966","NullURLProcessor","org.broadleafcommerce.cms.web.NullURLProcessor","L6831","L103","admin\broadleaf-contentmanagement-module\src\main\java\org\broadleafcommerce\cms\web\NullURLProcessor.java","29","1","61","2","0","0","0","0","0","0","0","0","2","0","0","3","1","1","1","0","3","0.75","0.666667","26","26","3","1","0.666667","26","1","1","0","0","1","13","33","1","1","1","1","3","0","3","0","3","3","0","3","0","13","33","1","1","1","1","3","0","3","0","3","3","0","3","0","0","0","4","0","2","0","0","0","0","0","0","1","0","0","0","0","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"L7343","PageHandlerMapping","org.broadleafcommerce.cms.web.PageHandlerMapping","L6831","L103","admin\broadleaf-contentmanagement-module\src\main\java\org\broadleafcommerce\cms\web\PageHandlerMapping.java","47","1","99","2","0.478495","2","6","2","0.320755","0.411765","17","14","1","2","2","8","8","1","0","9","11","1","0.381818","21","21","1","0","0.381818","21","1","1","0","0","1","34","53","6","3","5","1","2","3","0","0","5","17","3","3","1","34","53","6","3","5","1","2","3","0","0","5","17","3","3","1","0","0","18","1","2","0","0","0","0","12","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","1","0","0","0"
"L7377","PageURLProcessor","org.broadleafcommerce.cms.web.PageURLProcessor","L6831","L103","admin\broadleaf-contentmanagement-module\src\main\java\org\broadleafcommerce\cms\web\PageURLProcessor.java","49","1","146","2","0.301695","2","6","2","0.173469","0.28","17","14","1","2","2","8","8","0","0","10","13","1","0.468085","44","44","3","0","0.468085","44","1","1","0","0","1","50","98","6","0","6","0","3","2","2","0","3","27","2","2","0","50","98","6","0","6","0","3","2","2","0","3","27","2","2","0","0","0","17","1","1","0","0","0","0","12","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","1","0","0"
"L7411","PreviewTemplateController","org.broadleafcommerce.cms.web.PreviewTemplateController","L6831","L103","admin\broadleaf-contentmanagement-module\src\main\java\org\broadleafcommerce\cms\web\PreviewTemplateController.java","24","1","37","2","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","12","14","2","0","2","0","1","1","1","0","1","3","1","1","0","12","14","2","0","2","0","1","1","1","0","1","3","1","1","0","0","0","9","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0"
"L7592","URLHandlerFilter","org.broadleafcommerce.cms.web.URLHandlerFilter","L6831","L103","admin\broadleaf-contentmanagement-module\src\main\java\org\broadleafcommerce\cms\web\URLHandlerFilter.java","38","1","97","2","0.247899","1","5","1","0.25","0.282609","15","13","2","4","3","12","4","0","0","4","6","1","0.206897","12","12","1","0","0.206897","12","0","0","0","0","0","46","60","1","0","1","0","2","0","0","0","2","25","0","0","0","46","60","1","0","1","0","2","0","0","0","2","25","0","0","0","0","0","16","0","2","0","1","0","0","11","0","1","0","0","0","0","0","1","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L7622","BroadleafProcessURLFilterTest","org.broadleafcommerce.cms.web.BroadleafProcessURLFilterTest","L6831","L103","admin\broadleaf-contentmanagement-module\src\test\java\org\broadleafcommerce\cms\web\BroadleafProcessURLFilterTest.java","24","1","33","2","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","1","2","0.5","0.307692","4","3","1","1","0.307692","4","0","0","0","0","0","9","10","0","0","0","0","1","0","1","0","1","5","0","1","0","9","10","0","0","0","0","1","0","1","0","1","5","0","1","0","0","0","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"L3567","AdminAuditable","org.broadleafcommerce.openadmin.audit.AdminAuditable","L7627","L103","admin\broadleaf-open-admin-platform\src\main\java\org\broadleafcommerce\openadmin\audit\AdminAuditable.java","28","1","80","2","0","0","0","0","0","0","0","0","0","0","0","8","0","18","1","0","8","0","0","0","0","0","9","0","0","0","0","0","0","0","40","53","5","4","5","4","8","0","8","4","8","8","0","8","4","40","53","5","4","5","4","8","0","8","4","8","8","0","8","4","0","0","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"L7658","AdminAuditableListener","org.broadleafcommerce.openadmin.audit.AdminAuditableListener","L7627","L103","admin\broadleaf-open-admin-platform\src\main\java\org\broadleafcommerce\openadmin\audit\AdminAuditableListener.java","31","1","106","2","0.4","2","7","2","0.394737","0.411765","30","28","0","3","3","17","5","0","0","4","9","0","0.0285714","2","0","0","3","0.0285714","2","0","0","0","0","0","68","76","0","1","0","1","5","0","2","4","5","41","0","2","4","68","76","0","1","0","1","5","0","2","4","5","41","0","2","4","0","0","31","4","2","0","0","0","0","18","0","0","0","0","0","0","0","2","13","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0"
"L7744","AdminExporterDTO","org.broadleafcommerce.openadmin.dto.AdminExporterDTO","L7711","L103","admin\broadleaf-open-admin-platform\src\main\java\org\broadleafcommerce\openadmin\dto\AdminExporterDTO.java","26","1","59","2","0","0","0","0","0","0","0","0","0","0","0","6","1","2","1","0","6","0.142857","0.142857","4","4","1","6","0.142857","4","0","0","0","0","0","24","34","4","3","4","3","6","0","6","3","6","6","0","6","3","24","34","4","3","4","3","6","0","6","3","6","6","0","6","3","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L7763","AdornedTargetCollectionMetadata","org.broadleafcommerce.openadmin.dto.AdornedTargetCollectionMetadata","L7711","L103","admin\broadleaf-open-admin-platform\src\main\java\org\broadleafcommerce\openadmin\dto\AdornedTargetCollectionMetadata.java","26","1","112","2","0","0","0","0","0","0","0","0","2","1","1","25","3","8","5","4","17","0.0769231","0.0416667","3","3","1","12","0.0416667","3","2","2","0","0","1","69","87","26","23","4","3","13","0","12","4","61","38","0","58","25","69","87","26","23","4","3","13","0","12","4","61","38","0","58","25","0","0","37","4","17","0","0","14","0","0","0","1","0","0","0","0","0","3","29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","7","0","0","0","0","0","1"
"L463","AdornedTargetList","org.broadleafcommerce.openadmin.dto.AdornedTargetList","L7711","L103","admin\broadleaf-open-admin-platform\src\main\java\org\broadleafcommerce\openadmin\dto\AdornedTargetList.java","26","1","239","2","0.618016","19","244","19","0.261682","0.298851","56","52","2","1","1","71","2","12","22","1","34","0.0294118","0.0333333","6","5","1","33","0.0333333","6","1","1","0","0","1","174","214","13","12","13","12","33","0","33","12","33","94","0","33","12","174","214","13","12","13","12","33","0","33","12","33","94","0","33","12","0","0","110","0","29","0","0","28","0","26","0","1","0","2","0","0","0","1","67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","0","0","0","0","0","1"
"L1532","BasicCollectionMetadata","org.broadleafcommerce.openadmin.dto.BasicCollectionMetadata","L7711","L103","admin\broadleaf-open-admin-platform\src\main\java\org\broadleafcommerce\openadmin\dto\BasicCollectionMetadata.java","25","1","73","2","0","0","0","0","0","0","0","0","2","1","1","12","4","8","6","4","11","0.142857","0.0731707","3","3","1","6","0.0731707","3","2","2","0","0","1","38","49","23","21","1","1","7","0","6","1","55","20","0","52","22","38","49","23","21","1","1","7","0","6","1","55","20","0","52","22","0","0","22","0","9","0","0","8","0","0","0","1","0","0","0","0","0","1","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","1"
"L634","BasicFieldMetadata","org.broadleafcommerce.openadmin.dto.BasicFieldMetadata","L7711","L103","admin\broadleaf-open-admin-platform\src\main\java\org\broadleafcommerce\openadmin\dto\BasicFieldMetadata.java","31","1","766","2","0.482427","21","635","52","0.259511","0.308442","191","190","2","2","2","235","6","45","77","8","110","0.0194175","0.0144","9","9","2","101","0.0144","9","1","1","0","0","1","616","736","68","64","50","47","102","0","102","49","139","308","0","138","66","616","736","68","64","50","47","102","0","102","49","139","308","0","138","66","0","0","266","6","4","0","0","0","0","30","0","1","0","3","0","1","0","4","205","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","26","0","0","0","0","0","1"
"L8217","BatchDynamicResultSet","org.broadleafcommerce.openadmin.dto.BatchDynamicResultSet","L7711","L103","admin\broadleaf-open-admin-platform\src\main\java\org\broadleafcommerce\openadmin\dto\BatchDynamicResultSet.java","24","1","35","2","0","0","0","0","0","0","0","0","0","0","0","2","1","1","0","0","2","0.333333","0.25","3","3","1","2","0.25","3","0","0","0","0","0","9","12","1","1","1","1","2","0","2","1","2","2","0","2","1","9","12","1","1","1","1","2","0","2","1","2","2","0","2","1","0","0","5","3","1","0","0","0","0","0","0","0","0","0","0","0","0","1","5","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"L8225","BatchPersistencePackage","org.broadleafcommerce.openadmin.dto.BatchPersistencePackage","L7711","L103","admin\broadleaf-open-admin-platform\src\main\java\org\broadleafcommerce\openadmin\dto\BatchPersistencePackage.java","25","1","53","2","0","0","0","0","0","0","0","0","1","1","1","8","1","1","0","0","4","0.2","0.125","3","3","1","4","0.125","3","0","0","0","0","0","21","29","1","1","1","1","4","0","4","1","4","11","0","4","1","21","29","1","1","1","1","4","0","4","1","4","11","0","4","1","0","0","11","3","8","0","0","6","0","0","0","0","0","0","0","0","0","2","11","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0","1"
"L738","ClassMetadata","org.broadleafcommerce.openadmin.dto.ClassMetadata","L7711","L103","admin\broadleaf-open-admin-platform\src\main\java\org\broadleafcommerce\openadmin\dto\ClassMetadata.java","31","1","86","2","0.35","1","2","1","0.214286","0.255814","12","11","0","1","1","10","4","18","39","1","10","0.1","0.113636","5","5","1","9","0.104167","5","0","0","0","0","0","39","51","6","5","6","5","9","0","9","4","9","11","0","9","4","43","56","6","6","6","6","10","0","10","4","10","12","0","10","4","0","0","48","2","3","0","0","0","0","21","0","0","0","0","0","0","0","2","26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","1","0","0","0","0","0","1"
"L1548","ClassTree","org.broadleafcommerce.openadmin.dto.ClassTree","L7711","L103","admin\broadleaf-open-admin-platform\src\main\java\org\broadleafcommerce\openadmin\dto\ClassTree.java","26","1","160","2","0","0","0","0","0","0","0","0","1","2","2","30","0","10","15","0","22","0.0454545","0.036036","4","3","1","21","0.036036","4","0","0","0","0","0","107","135","8","7","8","7","22","0","21","6","22","47","0","21","6","107","135","8","7","8","7","22","0","21","6","22","47","0","21","6","0","0","50","2","3","0","0","0","0","0","0","0","0","0","0","0","0","3","45","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","5","0","0","0","0","0","0"
"L7764","CollectionMetadata","org.broadleafcommerce.openadmin.dto.CollectionMetadata","L7711","L103","admin\broadleaf-open-admin-platform\src\main\java\org\broadleafcommerce\openadmin\dto\CollectionMetadata.java","24","1","100","2","0.285235","1","9","1","0.142857","0.145161","11","9","1","1","1","23","2","13","24","8","19","0.0909091","0.0461538","3","3","1","10","0.0461538","3","1","1","3","3","1","62","77","22","20","4","3","11","0","10","4","50","35","0","48","21","62","77","22","20","4","3","11","0","10","4","50","35","0","48","21","0","0","37","2","14","0","0","12","0","8","0","0","0","0","0","0","0","2","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","4","0","0","0","0","0","1"
"L837","CriteriaTransferObject","org.broadleafcommerce.openadmin.dto.CriteriaTransferObject","L7711","L103","admin\broadleaf-open-admin-platform\src\main\java\org\broadleafcommerce\openadmin\dto\CriteriaTransferObject.java","34","1","136","2","0","0","0","0","0","0","0","0","1","1","1","13","2","20","16","2","13","0.75","0.505376","47","47","9","3","0.505376","47","0","0","0","0","0","46","103","4","4","4","4","11","0","11","4","11","16","0","11","4","46","103","4","4","4","4","11","0","11","4","11","16","0","11","4","0","0","7","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L690","DynamicResultSet","org.broadleafcommerce.openadmin.dto.DynamicResultSet","L7711","L103","admin\broadleaf-open-admin-platform\src\main\java\org\broadleafcommerce\openadmin\dto\DynamicResultSet.java","26","1","104","2","0","0","0","0","0","0","0","0","0","0","0","16","2","25","22","0","16","0.0588235","0.0923077","6","5","1","16","0.0923077","6","0","0","0","0","0","59","79","7","6","7","6","16","0","16","6","16","18","0","16","6","59","79","7","6","7","6","16","0","16","6","16","18","0","16","6","0","0","37","4","1","0","0","0","0","0","0","0","0","0","0","0","0","1","33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","4","0","0","0","0","0","0"
"L342","Entity","org.broadleafcommerce.openadmin.dto.Entity","L7711","L103","admin\broadleaf-open-admin-platform\src\main\java\org\broadleafcommerce\openadmin\dto\Entity.java","39","1","334","2","0.140845","2","10","3","0.125","0.16895","37","37","1","2","2","75","3","57","88","7","39","0.181818","0.195833","47","47","6","27","0.176692","47","0","0","0","0","0","193","270","14","10","14","10","32","0","32","12","32","112","0","32","12","219","296","14","11","14","11","35","0","35","12","35","127","0","35","12","0","0","132","5","40","0","0","26","0","48","0","0","0","2","0","0","0","7","72","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","6","4","10","0","0","0","0","0","1"
"L8555","EntityResult","org.broadleafcommerce.openadmin.dto.EntityResult","L7711","L103","admin\broadleaf-open-admin-platform\src\main\java\org\broadleafcommerce\openadmin\dto\EntityResult.java","34","1","56","2","0","0","0","0","0","0","0","0","0","0","0","4","1","2","4","0","4","0.2","0.433333","13","13","1","4","0.433333","13","0","0","0","0","0","17","23","3","2","3","2","4","0","4","2","4","4","0","4","2","17","23","3","2","3","2","4","0","4","2","4","4","0","4","2","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L372","FieldMetadata","org.broadleafcommerce.openadmin.dto.FieldMetadata","L7711","L103","admin\broadleaf-open-admin-platform\src\main\java\org\broadleafcommerce\openadmin\dto\FieldMetadata.java","31","1","283","2","0.517583","11","220","12","0.166008","0.20098","42","41","1","1","1","93","1","78","61","0","39","0.025641","0.0331754","7","7","1","38","0.0331754","7","0","0","2","5","0","204","253","18","17","18","17","39","0","38","17","39","112","0","38","17","204","253","18","17","18","17","39","0","38","17","39","112","0","38","17","0","0","117","2","40","0","0","38","0","21","0","0","0","2","0","0","0","2","81","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","13","0","0","0","0","0","1"
"L892","FilterAndSortCriteria","org.broadleafcommerce.openadmin.dto.FilterAndSortCriteria","L7711","L103","admin\broadleaf-open-admin-platform\src\main\java\org\broadleafcommerce\openadmin\dto\FilterAndSortCriteria.java","27","1","125","2","0","0","0","0","0","0","0","0","1","0","0","18","3","14","17","1","17","0","0.0454545","3","0","0","16","0.0779221","6","0","0","0","0","0","63","88","9","6","9","6","16","5","15","5","16","19","5","15","5","71","99","10","6","9","6","17","5","16","5","19","22","5","18","5","0","2","39","0","3","0","0","0","0","0","0","0","0","0","0","0","0","2","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","3","0","0","0","0"
"L449","ForeignKey","org.broadleafcommerce.openadmin.dto.ForeignKey","L7711","L103","admin\broadleaf-open-admin-platform\src\main\java\org\broadleafcommerce\openadmin\dto\ForeignKey.java","29","1","202","2","0.334869","4","44","4","0.155172","0.172662","27","24","2","1","1","52","3","23","22","1","28","0.0357143","0.0413793","6","5","1","27","0.0413793","6","1","1","0","0","1","139","174","9","8","9","8","27","0","27","8","27","76","0","27","8","139","174","9","8","9","8","27","0","27","8","27","76","0","27","8","0","0","81","0","27","0","0","20","0","17","0","1","0","1","0","0","0","1","55","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","6","0","0","0","1"
"L8848","MapMetadata","org.broadleafcommerce.openadmin.dto.MapMetadata","L7711","L103","admin\broadleaf-open-admin-platform\src\main\java\org\broadleafcommerce\openadmin\dto\MapMetadata.java","24","1","170","2","0.22695","1","13","1","0.0884354","0.10084","13","12","2","1","1","46","3","8","4","4","27","0.0434783","0.0245902","3","3","1","22","0.0245902","3","2","2","0","0","1","119","147","31","28","9","8","23","0","22","9","71","62","0","68","30","119","147","31","28","9","8","23","0","22","9","71","62","0","68","30","0","0","75","2","23","0","0","20","0","9","0","1","0","1","0","0","0","2","49","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","15","0","0","0","0","0","1"
"L8909","MapStructure","org.broadleafcommerce.openadmin.dto.MapStructure","L7711","L103","admin\broadleaf-open-admin-platform\src\main\java\org\broadleafcommerce\openadmin\dto\MapStructure.java","28","1","193","2","0.400589","11","135","11","0.198795","0.214815","33","29","2","1","1","55","2","11","14","1","25","0.04","0.0425532","6","5","1","24","0.0425532","6","1","1","1","1","1","135","166","10","9","10","9","24","0","24","9","24","75","0","24","9","135","166","10","9","10","9","24","0","24","9","24","75","0","24","9","0","0","80","2","23","0","0","22","0","20","0","1","0","1","0","0","0","1","49","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","2","0","0","0","0","1"
"L8987","OperationTypes","org.broadleafcommerce.openadmin.dto.OperationTypes","L7711","L103","admin\broadleaf-open-admin-platform\src\main\java\org\broadleafcommerce\openadmin\dto\OperationTypes.java","26","1","232","2","0","0","0","0","0","0","0","0","1","1","1","27","1","9","17","0","15","0.6875","0.592593","112","111","11","5","0.592593","112","0","0","0","0","0","77","207","6","5","6","5","15","0","15","5","15","44","0","15","5","77","207","6","5","6","5","15","0","15","5","15","44","0","15","5","0","0","10","0","15","0","0","14","0","0","0","0","0","0","0","0","0","1","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1"
